"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"augustus_masked-NW_019167827.1-processed-gene-38.13-mRNA-1:2",262.218117286127,-7.68496209280167,1.95158961631431,-3.93779615783935,8.22334053936791e-05,0.00840014236096432
"augustus_masked-NW_019167827.1-processed-gene-20.1-mRNA-1:1",245.257778148899,-7.65605027668236,1.95168808424485,-3.92278373705634,8.75317157176489e-05,0.00872328269322716
"augustus_masked-NW_019167827.1-processed-gene-24.14-mRNA-1:12",144.292457044241,-7.53877090237227,1.93261798618427,-3.90080758653018,9.58723298672304e-05,0.00932700809136913
"augustus_masked-NW_019167827.1-processed-gene-91.1-mRNA-1:1",99.8982499494797,-7.42649151097883,1.91727629789789,-3.87345919788465,0.000107301377976844,0.0101961262886834
"augustus_masked-NW_019167827.1-processed-gene-6.11-mRNA-1:4",205.257248957411,-7.55456762345975,1.95475951889298,-3.86470435388289,0.000111223837134979,0.0102337161891622
"augustus_masked-NW_019167827.1-processed-gene-223.0-mRNA-1:6",234.801185796809,-5.55101481785894,1.43916628911513,-3.85710453325861,0.000114738102406069,0.0102337161891622
"augustus_masked-NW_019167827.1-processed-gene-24.5-mRNA-1:2",290.954635728759,-7.58963906556246,1.96821671030483,-3.85609929324653,0.000115210705996442,0.0102337161891622
"augustus_masked-NW_019167827.1-processed-gene-22.10-mRNA-1:5",182.280258807662,-7.50592316192844,1.95402331145829,-3.84126592447189,0.000122401423290522,0.0106411109694696
"augustus_masked-NW_019167827.1-processed-gene-227.12-mRNA-1:6",97.0321493193106,-5.73896916028072,1.49872269542484,-3.82924017751923,0.000128539512443303,0.0109419259967362
"augustus_masked-NW_019167827.1-processed-gene-226.11-mRNA-1:1",151.837649086026,-7.43246784953307,1.9520720318537,-3.80747622436613,0.000140392231783858,0.0117069930422213
"augustus_masked-NW_019167827.1-processed-gene-6.11-mRNA-1:7",263.79012264862,-7.49399060337843,1.97533926011228,-3.79377393782599,0.000148374769080333,0.0121251861292448
"augustus_masked-NW_019167827.1-processed-gene-231.7-mRNA-1:4",137.346138149774,-5.3953001271634,1.4241570467673,-3.78841655097675,0.000151610499439354,0.0121466764844941
"augustus_masked-NW_019167827.1-processed-gene-24.14-mRNA-1:11",143.58148520232,-7.37216429411907,1.95679493745139,-3.76746901426518,0.000164911001804025,0.0129581991032932
"augustus_masked-NW_019167827.1-processed-gene-223.6-mRNA-1:45",74.4251098732872,-7.12057914480659,1.90374434457824,-3.74030219188075,0.000183799144786218,0.0141698736904997
"augustus_masked-NW_019167827.1-processed-gene-221.5-mRNA-1:3",53.9368190446057,-5.12037419767379,1.37280856169423,-3.72985304764895,0.000191591479439229,0.0144970886109017
"augustus_masked-NW_019167827.1-processed-gene-38.13-mRNA-1:5",287.155823267353,-7.40705675801591,1.98914584167031,-3.72373739664866,0.000196295106477384,0.0145829419103017
"augustus_masked-NW_019167827.1-processed-gene-37.0-mRNA-1:1",195.889139068606,-7.34033849855397,1.98011571231932,-3.70702502529824,0.000209708227409409,0.0149069278453802
"augustus_masked-NW_019167827.1-processed-gene-34.4-mRNA-1:3",152.286108103872,-7.29902264856706,1.97111851402331,-3.70298518158038,0.000213077332576898,0.0149069278453802
"augustus_masked-NW_019167827.1-processed-gene-161.12-mRNA-1:1",259.028015143923,-5.95102521615624,1.61132357505605,-3.69325274468799,0.000221403775438534,0.0149069278453802
"augustus_masked-NW_019167827.1-processed-gene-6.11-mRNA-1:12",116.965116428426,-7.24190561636263,1.96087529131932,-3.69320050511225,0.000221449281377307,0.0149069278453802
"augustus_masked-NW_019167827.1-processed-gene-214.7-mRNA-1:2",1012.3892856333,-5.93920330954332,1.60967475256902,-3.68969153555055,0.000224526130207023,0.0149069278453802
"augustus_masked-NW_019167827.1-processed-gene-222.2-mRNA-1:5",158.263135427482,-4.78369635681384,1.29652337418786,-3.68963371741012,0.000224577162639128,0.0149069278453802
"augustus_masked-NW_019167827.1-processed-gene-191.2-mRNA-1:1",99.9324826537934,-7.205034810427,1.95374454976076,-3.68780801528494,0.000226194206170722,0.0149069278453802
"augustus_masked-NW_019167827.1-processed-gene-10.16-mRNA-1:5",82.1766393866559,-7.1503037260703,1.94476019177968,-3.67670202027683,0.000236268756906802,0.015202812018209
"augustus_masked-NW_019167827.1-processed-gene-199.1-mRNA-1:5",158.892672492236,-7.26837493524734,1.97794839833838,-3.67470402228557,0.000238125298376254,0.015202812018209
"augustus_masked-NW_019167827.1-processed-gene-174.2-mRNA-1:5",126.174741367852,-5.2674797983007,1.44320075782372,-3.64985936277071,0.000262383926457941,0.016027140477614
"augustus_masked-NW_019167827.1-processed-gene-214.13-mRNA-1:1",154.648959707272,-7.22795643486759,1.98183649378122,-3.64710028175791,0.000265216435716336,0.016027140477614
"augustus_masked-NW_019167827.1-processed-gene-80.1-mRNA-1:6",222.139511216776,-7.27228763997526,1.99467358342883,-3.64585348720278,0.000266505792904083,0.016027140477614
"augustus_masked-NW_019167827.1-processed-gene-24.14-mRNA-1:1",140.395287958642,-7.21078091432703,1.97825321106909,-3.64502424360034,0.000267366596167623,0.016027140477614
"augustus_masked-NW_019167827.1-processed-gene-87.7-mRNA-1:1",84.0083774880868,-4.83769847163464,1.32888211035567,-3.64042711835427,0.000272186146822331,0.016027140477614
"augustus_masked-NW_019167827.1-processed-gene-20.10-mRNA-1:1",130.527207183957,-5.91835292489595,1.62673456795808,-3.63817984904864,0.000274571667506848,0.016027140477614
"augustus_masked-NW_019167827.1-processed-gene-6.11-mRNA-1:8",128.19048967018,-7.17908255639957,1.97676724818582,-3.63172880519351,0.000281528891748414,0.0161199386993063
"augustus_masked-NW_019167827.1-processed-gene-161.1-mRNA-1:1",86.1052771088339,-5.5501163045874,1.52970259815487,-3.62823225330333,0.000285368491449296,0.0161199386993063
